"type","origin","angles","scale","fade","mantle","visible","mdl","collection"
"dynamic_prop","<1244.6700,736.3401,1462.1200>","<0.0000,0.0000,0.0000>",1,50000,true,true,"mdl/industrial/zipline_arm.rmdl","arm"
"dynamic_prop","<1245.4700,737.3401,1282.1200>","<0.0000,90.0000,0.0000>",1,50000,true,true,"mdl/industrial/security_fence_post.rmdl","fence_post"
"dynamic_prop","<727.3999,231.5999,1462.1200>","<0.0000,90.0000,0.0000>",1,50000,true,true,"mdl/industrial/zipline_arm.rmdl","arm"
"dynamic_prop","<726.3999,232.3999,1282.1200>","<0.0000,-180.0000,0.0000>",1,50000,true,true,"mdl/industrial/security_fence_post.rmdl","fence_post"
"dynamic_prop","<1493.5500,96.8000,1462.1200>","<0.0000,-90.0000,0.0000>",1,50000,true,true,"mdl/industrial/zipline_arm.rmdl","arm"
"dynamic_prop","<1494.5500,96.0000,1282.1200>","<0.0000,0.0000,0.0000>",1,50000,true,true,"mdl/industrial/security_fence_post.rmdl","fence_post"
"dynamic_prop","<-2750.0000,256.8000,692.8650>","<0.0000,-90.0000,0.0000>",1,50000,true,true,"mdl/industrial/zipline_arm.rmdl","arm"
"dynamic_prop","<-2749.0000,256.0001,512.8650>","<0.0000,0.0000,0.0000>",1,50000,true,true,"mdl/industrial/security_fence_post.rmdl","fence_post"
"dynamic_prop","<-966.0427,-2301.1990,2231.3910>","<0.0000,-90.0000,0.0000>",1,50000,true,true,"mdl/industrial/zipline_arm.rmdl","arm"
"dynamic_prop","<-965.0427,-2302.0000,2051.3910>","<0.0000,0.0000,0.0000>",1,50000,true,true,"mdl/industrial/security_fence_post.rmdl","fence_post"
"dynamic_prop","<263.2369,-2045.7110,2230.5920>","<0.0000,0.0000,0.0000>",1,50000,true,true,"mdl/industrial/zipline_arm.rmdl","arm"
"dynamic_prop","<264.0369,-2044.7110,2050.5920>","<0.0000,90.0000,0.0000>",1,50000,true,true,"mdl/industrial/security_fence_post.rmdl","fence_post"
"dynamic_prop","<1858.6500,1163.2000,1205.0960>","<0.0000,-180.0000,0.0000>",1,50000,true,true,"mdl/industrial/zipline_arm.rmdl","arm"
"dynamic_prop","<1857.8500,1162.2000,1025.0960>","<0.0000,-90.0000,0.0000>",1,50000,true,true,"mdl/industrial/security_fence_post.rmdl","fence_post"
